,Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20
37,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21506948895188036,0.21506948895188036,0.21506948895188036,0.21506948895188036,0.21506948895188036,0.4301389779037607,0.4301389779037607,0.4301389779037607,0.4301389779037607,0.4301389779037607,0.4301389779037607,0.4301389779037607,0.645208466855641,0.645208466855641,1.0753474447594018,1.0753474447594018,1.0753474447594018,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.290416933711282,1.5054864226631626,1.5054864226631626,1.5054864226631626,1.5054864226631626,1.5054864226631626,1.5054864226631626
38,Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413109791363031,0.0413109791363031,0.0826219582726062,0.12393293740890929,0.12393293740890929,0.2891768539541217,0.413109791363031,0.413109791363031,0.413109791363031,0.7435976244534558,1.1153964366801836,1.1153964366801836,3.0570124560864294,4.048475955357704,4.957317496356372,5.948780995627646,7.60122016107977,10.451677721484684,11.484452199892262,14.128354864615659,16.93750144588427,18.094208861700757,20.28369075592482,21.853507963104338,21.853507963104338,23.547258107692766
39,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.0048510817354395636,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.009702163470879127,0.014553245206318689,0.03880865388351651,0.03880865388351651,0.058212980825274756,0.10672379817967038,0.1455324520631869,0.19404326941758251,0.21344759635934077,0.24740516850741773,0.3153203128035716,0.3395757214807694,0.4317462744541211,0.5384700726337915,0.6354917073425828,0.6548960342843411,0.844088221966484,0.8925990393208796,1.0187271644423082,1.0381314913840665,1.1254509626219786,1.154557453034616,1.2321747608016491,1.3388985589813194,1.397111539806594,1.4795799293090668,1.5426439918697812,1.566899400546979,1.66392103525577,1.809453487318957
40,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597231354885024,0.1194462709770048,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.2388925419540096,0.597231354885024,0.597231354885024,1.4333552517240575,1.4333552517240575,1.5528015227010623,1.8514172001435745,1.8514172001435745,2.269479148563091,2.806987367959613,4.001450077729661,4.71812770359169,5.136189652011207,5.9125904133617375,6.270929226292752,7.107053123131785,7.764007613505312,8.480685239367341,9.675147949137388,10.45154871048792,11.347395742815456,11.646011420257969,12.362689046119996,13.079366671982026,13.258536078447532,13.497428620401543,14.154383110775068,14.572445059194585,14.9307838721256,15.826630904453136,16.603031665803666,16.72247793678067,17.3794324271542,17.857217511062217
41,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1253605683346726,0.2507211366693452,0.2507211366693452,0.2507211366693452,0.5014422733386904,0.7521634100080357,0.7521634100080357,0.7521634100080357,0.8775239783427082,0.8775239783427082,1.0028845466773808,1.0028845466773808,1.253605683346726,1.253605683346726,1.3789662516813987
42,Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,0.12079132814896953,1.0871219533407257,1.9326612503835126,1.9326612503835126,2.1742439066814514,2.4158265629793907,2.7782005474262994,2.7782005474262994,3.0197832037242383,3.0197832037242383,3.0197832037242383,3.623739844469086,4.106905157064964,4.348487813362903,4.7108617978098115,4.831653125958781,4.952444454107751,5.314818438554659,7.005897032640233,7.851436329683019,8.455392970427868,8.817766954874775,9.180140939321685,9.180140939321685,9.180140939321685,9.300932267470653,9.300932267470653
43,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022804476245033185,0.022804476245033185,0.022804476245033185,0.022804476245033185,0.022804476245033185,0.022804476245033185,0.06841342873509955,0.11402238122516592,0.2736537149403982,0.2736537149403982,0.38767609616556414,0.38767609616556414,0.4332850486556305,0.4560895249006637,0.4560895249006637,0.4560895249006637,0.5473074298807964,0.5929163823708627,0.8437656210662279,1.0946148597615928,1.231441717231792,1.3682685747019911,1.6875312421324558,1.9839894333178871,2.0524028620529866,3.1698221980596126,4.5836997252516705,5.245029536357633,6.02038172868876,6.886951826000022,8.369242781927179,9.327030784218573,10.353232215245066,11.653087361211957,13.31781412709938,16.32800499144376,19.315391379543108,22.48521357760272,26.70404168293386,28.528399782536514,30.101908643443803,32.45076969668222,33.476971127708715,35.848636657192166,37.992257424225286,40.15868266750344,41.61816914718556,43.64776753299351,45.22127639390081,47.20526582721869
44,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.009771885113901093,0.019543770227802185,0.019543770227802185,0.019543770227802185,0.019543770227802185,0.02931565534170328,0.1465782767085164,0.1465782767085164,0.47882237058115357,0.5374536812645602,0.5765412217201645,0.5863131068340656,0.6547163026313733,0.7817508091120875,1.065135477415219,1.0749073625291203,1.465782767085164,1.9152894823246143,1.9152894823246143,2.5016025891586797,2.7849872574618115,2.8729342234869213,3.1954064322456577,3.5765099516878003,3.9282978157882398,4.455979611938899,4.837083131381041,5.237730421050986,5.62860582560703,5.951078034365766,6.410356634719117,6.938038430869776,7.612298503728952,8.452680623524445,9.625306837192577,10.45591707187417,11.462421238605982,12.918432120577245,14.169233415156585,15.244140777685706,16.602432808517957,17.53076189433856,18.94768523585422,20.178942760205757,21.400428399443395,22.96393001766757
45,Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1455330803968396,0.1455330803968396,0.1455330803968396,0.1455330803968396,0.4365992411905188,1.1642646431747168,1.1642646431747168,1.455330803968396,1.455330803968396,1.6008638843652356,1.6008638843652356,2.619595447143113,2.619595447143113,2.7651285275399524,2.910661607936792,3.0561946883336315,3.4927939295241504,3.4927939295241504,3.4927939295241504,3.63832700992099,3.78386009031783,5.093657813889386
46,Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02709251769683256,0.02709251769683256,0.02709251769683256,0.05418503539366512,0.05418503539366512,0.05418503539366512,0.05418503539366512,0.05418503539366512,0.08127755309049768,0.13546258848416282,0.16255510618099536,0.18964762387782794,0.46057280084615354,0.7585904955113117,0.7856830132081443,1.0295156724796373,1.3275333671447955,1.7068286149004515,2.086123862656107,2.600881698895926,3.1156395351357444,3.8742300306470563,4.6057280084615355,6.095816481787327,7.4504423666289545,9.346918605407234,10.891192114126689,12.977315976782798,15.063439839438905,16.71608341894569,17.718506573728494,19.181502529357452,21.430181498194557,24.898023763389123,27.661460568466044,30.343619820452467,32.077540953049756,34.542960063461514,37.22511931544794,39.22996562501355,41.85793984160631,45.00067189443888,47.76410869951581,51.15067341161988
47,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022805396760310948,0.022805396760310948,0.022805396760310948,0.022805396760310948,0.022805396760310948,0.045610793520621896,0.045610793520621896,0.045610793520621896,0.045610793520621896,0.045610793520621896,0.045610793520621896,0.06841619028093285,0.06841619028093285,0.06841619028093285,0.06841619028093285,0.11402698380155474,0.1368323805618657,0.1368323805618657,0.15963777732217663,0.15963777732217663,0.18244317408248759,0.22805396760310948,0.22805396760310948,0.2736647611237314,0.2736647611237314,0.31927555464435325,0.31927555464435325,0.3420809514046642,0.38769174492528613,0.43330253844590805,0.43330253844590805,0.6613565060490175,0.7297726963299503
48,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08461224745359441,0.08461224745359441,0.08461224745359441,0.08461224745359441,0.16922449490718883,0.16922449490718883,0.423061237267972,0.5922857321751609,0.5922857321751609,1.3537959592575106,1.5230204541646992,1.5230204541646992,1.692244949071888,2.030693938886266,2.453755176154238,3.2998776506901817,4.569061362494098,5.076734847215665,6.34591855901958,7.530490023369902,9.645796209709763,14.637918809471833,16.668612748358097,19.20698017196593,23.522204792099245,26.399021205521453,26.399021205521453,33.337225496716194,35.79098067287043,38.498572591385454,41.88306248952923,46.79057284183771,48.56743003836319,50.42889948234227,52.713430163589315,53.13649140085729,54.40567511266121,56.77481804136185,57.95938950571217,59.82085894969124,61.42849165130954,63.20534884783502
49,Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.696465940100111,6.696465940100111,6.696465940100111,6.696465940100111,6.696465940100111,6.696465940100111,6.696465940100111,10.044698910150167,10.044698910150167,10.044698910150167
50,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,0.33746958555360196,1.3498783422144078,2.6997566844288157,6.0744525399648355,8.774209224393651,17.548418448787302,26.322627673180953,28.347445186502565,38.80900233866423,45.89586363528987,53.99513368857632,65.46909959739878,79.30535260509646,84.02992680284689,89.42944017170453,97.86617981054458,111.02749364713505,137.350121320316,143.08710427472724,162.66034023683616,179.53381951451627,192.69513335110673,223.74233522203812,248.37761496745105,259.85158087627354,277.39999932506083,281.11216476615044,287.8615564772225,297.31070487272336,310.80948829486744,316.2090016637251,326.3330892303331,341.8566901657988,350.63089939019244,360.0800477856933
51,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29588191550007004,0.29588191550007004,0.29588191550007004,0.29588191550007004,0.5917638310001401,0.5917638310001401,0.88764574650021,0.88764574650021,0.88764574650021,1.08490035683359,1.08490035683359,1.08490035683359,1.4794095775003502,1.4794095775003502,2.26842801883387,2.76156454466732,2.76156454466732,2.76156454466732,4.33960142733436,4.33960142733436,5.22724717383457,6.41077483583485,7.10116597200168,8.580575549502031,9.172339380502171,12.03253123033618,16.27350535250385,17.95016954033758,20.613106779838212,26.92525431050637,29.390936939673622,35.40720255484171,39.450922066676,43.69189618884367,51.384825991845496,57.598346217346965,63.2201026118483,70.71577780451673,81.07164484701919,91.32888458435494,97.7396594201898,104.34768886635803,108.29278107302562,113.22414633136013,118.05688428452794
52,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876890889643743,13.516849046180608,19.393739935824353,19.393739935824353,21.156807202717474,24.095252647539347,27.62138718132559,28.79676535925434,28.79676535925434,30.559832626147465,32.322899893040585,35.26134533786246,49.95357256197182,49.95357256197182,55.83046345161556,64.64579978608117,114.599372348053,114.599372348053,114.599372348053,123.41470868251861,125.7654650383761,125.7654650383761,133.99311228387734,150.44840677487983,163.37756673209606,167.4913903548467,179.24517213413418,196.288155714101,221.55878653956913,230.37412287403473,246.24172827607285,269.1616027456834,273.8631154573984,279.7400063470422,293.2568553932228,302.6598808166528,333.21971344280024,334.395091620729,377.8840842040927,394.92706778405955,404.33009320748954,411.382362275062,444.292951257067,476.6158511501076,483.66812021768004,521.2802219114,543.6124072920462,611.1966525229493,667.6148050635293,799.8448500805134,897.988927937564
